Epoch,E2W_COR_FLUX
2019-02-05 21:00:00,1896.2622
2019-02-05 21:01:00,1953.6002
2019-02-05 21:02:00,1885.8594
2019-02-05 21:03:00,1891.7405
2019-02-05 21:04:00,1978.0753
2019-02-05 21:05:00,1858.3772
2019-02-05 21:06:00,1893.4482
2019-02-05 21:07:00,1956.4008
2019-02-05 21:08:00,1973.9681
2019-02-05 21:09:00,1955.1564
2019-02-05 21:10:00,1841.8319
2019-02-05 21:11:00,1914.9299
2019-02-05 21:12:00,1991.6055
2019-02-05 21:13:00,1928.7223
2019-02-05 21:14:00,1937.317
2019-02-05 21:15:00,1735.5045
2019-02-05 21:16:00,2003.3503
2019-02-05 21:17:00,1876.732
2019-02-05 21:18:00,1864.808
2019-02-05 21:19:00,1907.7258
2019-02-05 21:20:00,1764.5023
2019-02-05 21:21:00,1969.8413
2019-02-05 21:22:00,1774.4109
2019-02-05 21:23:00,1959.74
2019-02-05 21:24:00,1798.6945
2019-02-05 21:25:00,1774.3373
2019-02-05 21:26:00,1842.4398
2019-02-05 21:27:00,1745.356
2019-02-05 21:28:00,1816.1538
2019-02-05 21:29:00,1787.7325
2019-02-05 21:30:00,1775.9526
2019-02-05 21:31:00,1811.3115
2019-02-05 21:32:00,1782.3274
2019-02-05 21:33:00,1766.8431
2019-02-05 21:34:00,1780.3931
2019-02-05 21:35:00,1744.1252
2019-02-05 21:36:00,1763.2621
2019-02-05 21:37:00,1694.0718
2019-02-05 21:38:00,1764.7119
2019-02-05 21:39:00,1718.2032
2019-02-05 21:40:00,1749.3616
2019-02-05 21:41:00,1726.1167
2019-02-05 21:42:00,1722.1543
2019-02-05 21:43:00,1719.9067
2019-02-05 21:44:00,1701.7887
2019-02-05 21:45:00,1776.5552
2019-02-05 21:46:00,1743.6835
2019-02-05 21:47:00,1746.3263
2019-02-05 21:48:00,1673.4092
2019-02-05 21:49:00,1688.9807
2019-02-05 21:50:00,1738.0327
2019-02-05 21:51:00,1651.3627
2019-02-05 21:52:00,1776.3625
2019-02-05 21:53:00,1608.874
2019-02-05 21:54:00,1729.959
2019-02-05 21:55:00,1628.8329
2019-02-05 21:56:00,1687.3013
2019-02-05 21:57:00,1652.1775
2019-02-05 21:58:00,1651.9199
2019-02-05 21:59:00,1667.953
2019-02-05 22:00:00,1648.3225
2019-02-05 22:01:00,1679.0027
2019-02-05 22:02:00,1580.9996
2019-02-05 22:03:00,1665.9241
2019-02-05 22:04:00,1709.1532
2019-02-05 22:05:00,1643.5005
2019-02-05 22:06:00,1647.2615
2019-02-05 22:07:00,1624.1938
2019-02-05 22:08:00,1664.89
2019-02-05 22:09:00,1641.8629
2019-02-05 22:10:00,1734.7102
2019-02-05 22:11:00,1658.6959
2019-02-05 22:12:00,1712.615
2019-02-05 22:13:00,1623.672
2019-02-05 22:14:00,1664.9852
2019-02-05 22:15:00,1661.7856
2019-02-05 22:16:00,1652.4275
2019-02-05 22:17:00,1666.1495
2019-02-05 22:18:00,1618.2947
2019-02-05 22:19:00,1765.6892
2019-02-05 22:20:00,1635.1656
2019-02-05 22:21:00,1724.6243
2019-02-05 22:22:00,1643.9359
2019-02-05 22:23:00,1724.7336
2019-02-05 22:24:00,1678.8976
2019-02-05 22:25:00,1649.0087
2019-02-05 22:26:00,1669.2788
2019-02-05 22:27:00,1631.284
2019-02-05 22:28:00,1766.2501
2019-02-05 22:29:00,1661.9917
2019-02-05 22:30:00,1728.8411
2019-02-05 22:31:00,1587.7053
2019-02-05 22:32:00,1727.7554
2019-02-05 22:33:00,1639.9039
2019-02-05 22:34:00,1705.2836
2019-02-05 22:35:00,1617.434
2019-02-05 22:36:00,1663.8549
2019-02-05 22:37:00,1672.9523
2019-02-05 22:38:00,1557.0552
2019-02-05 22:39:00,1771.8555
2019-02-05 22:40:00,1645.2094
2019-02-05 22:41:00,1727.8163
2019-02-05 22:42:00,1661.1768
2019-02-05 22:43:00,1756.9917
2019-02-05 22:44:00,1633.7755
2019-02-05 22:45:00,1683.823
2019-02-05 22:46:00,1729.9358
2019-02-05 22:47:00,1700.7686
2019-02-05 22:48:00,1764.9252
2019-02-05 22:49:00,1608.7454
2019-02-05 22:50:00,1763.7732
2019-02-05 22:51:00,1751.5896
2019-02-05 22:52:00,1701.5385
2019-02-05 22:53:00,1765.6752
2019-02-05 22:54:00,1732.1484
2019-02-05 22:55:00,1809.3153
2019-02-05 22:56:00,1643.725
2019-02-05 22:57:00,1848.5358
2019-02-05 22:58:00,1726.875
2019-02-05 22:59:00,1816.2214
2019-02-05 23:00:00,1784.6226
2019-02-05 23:01:00,1749.1462
2019-02-05 23:02:00,1814.0269
2019-02-05 23:03:00,1760.3042
2019-02-05 23:04:00,1831.1973
2019-02-05 23:05:00,1740.7278
2019-02-05 23:06:00,1821.0084
2019-02-05 23:07:00,1717.3759
2019-02-05 23:08:00,1851.7161
2019-02-05 23:09:00,1702.4227
2019-02-05 23:10:00,1769.205
2019-02-05 23:11:00,1740.5596
2019-02-05 23:12:00,1699.6008
2019-02-05 23:13:00,1726.1167
2019-02-05 23:14:00,1670.8041
2019-02-05 23:15:00,1725.6713
2019-02-05 23:16:00,1634.8455
